Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20,SMA50,SMA200,VolumeRatio,TrendRegime,ConfluenceRatio
2026-05-28,ABCL,5.73,7638019,70.08,90.18,3.84,5.76,3.82,5.93,-9.82,22,,335.79,SELL,0.41,6.35,4.49,6.35,5.52,0.19,0.30,-0.11,4.80,4.79,4.11,4.16,0.82,uptrend,0.00
2026-05-28,BE,290.01,6646957,58.12,59.52,255.19,314.36,241.75,322.83,-40.48,22,,110.00,HOLD,23.70,254.46,361.12,254.46,301.86,12.66,19.90,-7.24,284.78,276.69,221.10,136.99,0.68,uptrend,0.00
2026-05-28,BMNR,19.25,39771414,42.37,25.05,17.61,24.04,17.88,23.47,-74.95,22,,200.06,HOLD,1.19,17.46,22.83,17.46,19.85,-1.29,-0.62,-0.67,20.82,20.28,20.98,33.38,1.17,downtrend,0.00
2026-05-28,CIEN,570.18,1809003,55.97,66.76,516.00,607.92,486.25,605.61,-33.24,22,DoubleTop,61.71,HOLD,34.63,518.23,674.08,518.23,587.50,23.34,28.56,-5.22,561.96,555.93,497.74,279.87,0.95,uptrend,0.00
2026-05-28,DLO,11.67,1785353,40.05,32.80,10.71,14.56,10.64,14.49,-67.20,22,,170.66,HOLD,0.60,10.77,13.46,10.77,11.97,-0.93,-0.57,-0.36,12.64,12.35,12.86,13.57,0.60,downtrend,0.00
2026-05-28,DNA,9.46,1445393,62.02,92.73,6.94,10.47,7.10,10.64,-7.27,22,,198.48,HOLD,0.70,8.41,11.56,8.41,9.81,-0.32,0.09,-0.40,8.70,8.40,7.77,9.66,1.07,downtrend,0.00
2026-05-28,GEV,996.00,2677859,43.88,13.81,994.06,1115.66,980.14,1125.43,-86.19,22,,349.96,HOLD,45.59,927.62,1132.76,927.62,1018.79,-27.08,-7.46,-19.63,1054.86,1040.66,998.78,746.78,1.21,uptrend,0.00
2026-05-28,GLW,182.97,8514187,51.44,31.36,154.99,214.89,149.14,211.79,-68.64,22,DoubleTop,140.92,HOLD,12.15,164.75,219.41,164.75,189.04,11.10,12.49,-1.39,184.94,184.16,165.97,111.77,0.57,uptrend,0.00
2026-05-28,GOOGL,390.13,20930770,61.78,31.15,379.12,403.62,365.82,408.61,-68.85,22,DoubleTop|HeadAndShoulders,62.11,HOLD,9.33,376.13,418.12,376.13,394.80,10.88,20.69,-9.81,391.37,382.75,346.12,299.04,0.73,uptrend,0.00
2026-05-28,INTC,120.89,93951500,66.83,60.92,95.35,132.95,91.50,132.75,-39.08,22,,110.00,HOLD,7.95,108.97,144.73,108.97,124.86,11.11,17.76,-6.65,114.15,110.46,81.06,48.70,0.67,uptrend,0.00
2026-05-28,IONQ,70.14,29278560,74.23,94.90,40.11,68.28,41.49,71.46,-5.10,22,,344.10,SELL,5.16,77.87,54.67,77.87,67.56,5.91,4.72,1.19,54.20,55.17,42.95,47.70,0.83,uptrend,0.00
2026-05-28,OPEN,5.07,51769553,56.57,68.15,4.03,5.61,4.15,5.60,-31.85,22,,110.00,HOLD,0.36,4.53,6.14,4.53,5.25,-0.42,-0.32,-0.09,4.82,4.76,4.91,6.05,1.41,downtrend,0.00
2026-05-28,PLTR,143.34,50190033,56.43,99.52,129.40,144.48,128.75,149.64,-0.48,22,DoubleBottom,225.98,SELL,5.87,152.14,125.74,152.14,140.41,-2.72,-3.46,0.74,136.94,137.56,141.72,161.94,1.20,downtrend,0.00
2026-05-28,POET,13.26,20955189,53.58,31.36,5.93,19.16,6.38,20.81,-68.64,22,HeadAndShoulders,101.86,HOLD,2.00,10.27,19.25,10.27,14.26,2.63,2.37,0.26,12.54,12.81,9.37,6.99,0.35,uptrend,0.00
2026-05-28,TSLA,442.10,32191161,63.61,81.09,378.55,458.82,368.17,453.40,-18.91,22,DoubleTop,243.61,SELL,15.06,464.69,396.92,464.69,434.57,18.78,20.29,-1.51,418.69,418.42,390.93,411.65,0.61,uptrend,0.00
2026-05-28,UPST,32.69,5348048,61.19,99.39,26.38,32.94,26.22,33.23,-0.61,22,DoubleTop,278.24,SELL,1.92,35.56,26.94,35.56,31.73,-1.22,-1.84,0.62,29.66,29.88,29.26,42.84,1.05,downtrend,0.00
