Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20,SMA50,SMA200,VolumeRatio,TrendRegime,ConfluenceRatio
2026-05-15,ABCL,4.09,8830303,45.34,17.65,3.56,5.31,3.76,5.63,-82.35,43,,212.76,HOLD,0.37,3.54,5.20,3.54,4.27,0.42,0.40,0.02,4.44,4.44,3.88,4.14,0.94,downtrend,0.50
2026-05-15,BE,275.95,9643996,58.79,63.76,207.70,320.63,201.80,310.00,-36.24,43,,60.00,HOLD,23.22,241.12,345.60,241.12,287.56,33.92,42.21,-8.29,264.17,260.59,199.62,126.99,0.94,uptrend,0.00
2026-05-15,BMNR,19.87,49888442,40.85,0.28,20.31,23.63,19.86,23.47,-99.72,43,DoubleBottom|DoubleTop,323.69,HOLD,1.34,17.86,23.88,17.86,20.54,0.02,0.23,-0.21,21.97,21.74,21.31,34.22,1.40,downtrend,0.00
2026-05-15,CIEN,554.46,2420403,57.62,67.79,466.37,602.89,461.07,598.84,-32.21,43,,97.50,HOLD,34.02,503.43,656.51,503.43,571.47,34.08,26.69,7.39,534.63,536.10,460.77,260.86,1.20,uptrend,0.00
2026-05-15,DLO,11.01,8362032,28.93,1.00,11.93,14.71,10.98,14.49,-99.00,43,,354.01,HOLD,0.65,10.03,12.96,10.03,11.34,-0.17,0.14,-0.31,13.32,13.03,12.84,13.52,3.92,downtrend,0.00
2026-05-15,DNA,7.71,1045124,44.41,15.56,6.84,10.32,7.17,10.64,-84.44,43,,229.14,HOLD,0.77,6.56,10.01,6.56,8.09,0.70,0.78,-0.07,8.58,8.43,7.51,9.86,0.78,downtrend,0.50
2026-05-15,GEV,1049.23,2440713,51.69,19.18,992.54,1162.24,984.09,1181.95,-80.82,43,,145.47,HOLD,46.42,979.59,1188.50,979.59,1072.44,15.21,48.60,-33.40,1077.39,1054.93,966.48,731.83,0.92,uptrend,0.00
2026-05-15,GLW,191.81,17105656,58.89,68.59,140.82,211.74,148.17,211.79,-31.41,43,,85.00,HOLD,12.90,172.46,230.50,172.46,198.26,9.22,3.99,5.23,176.28,180.39,156.97,106.87,1.19,uptrend,0.00
2026-05-15,GOOGL,396.78,20175668,70.23,88.37,321.96,423.83,331.35,403.70,-11.63,43,BullishFlag,242.60,SELL,9.71,411.34,367.65,411.34,391.93,29.72,26.63,3.09,372.89,375.37,332.74,291.31,0.73,uptrend,0.00
2026-05-15,INTC,108.77,132577167,62.25,53.84,56.74,138.40,64.47,132.75,-46.16,43,,75.00,HOLD,7.66,97.28,131.74,97.28,112.60,21.54,19.26,2.28,97.57,100.29,69.50,44.79,0.84,uptrend,0.00
2026-05-15,IONQ,51.95,27027253,58.58,62.86,38.87,58.06,39.76,59.15,-37.14,43,,60.00,HOLD,4.37,45.40,65.05,45.40,54.13,4.94,5.36,-0.43,48.47,48.45,38.98,46.98,0.81,uptrend,0.00
2026-05-15,OPEN,4.38,23331419,35.17,7.14,4.44,5.90,4.28,6.00,-92.86,43,,330.45,HOLD,0.35,3.85,5.44,3.85,4.56,-0.08,0.20,-0.28,5.17,4.96,5.00,5.95,0.61,downtrend,0.00
2026-05-15,PLTR,133.99,32293917,43.48,25.08,129.03,150.55,128.75,152.68,-74.92,43,,155.73,HOLD,6.11,124.82,152.33,124.82,137.05,-2.32,-0.89,-1.43,139.79,138.17,144.40,163.35,0.73,downtrend,0.00
2026-05-15,POET,15.97,99550994,62.20,66.48,3.84,18.22,6.37,20.81,-33.52,43,,97.50,HOLD,2.26,12.58,22.75,12.58,17.10,1.51,1.08,0.43,11.03,11.53,8.25,6.66,1.35,uptrend,0.00
2026-05-15,TSLA,422.24,52085091,57.96,63.44,351.36,451.28,364.02,453.40,-36.56,43,,75.00,HOLD,17.18,396.47,473.78,396.47,430.83,20.07,13.84,6.23,401.32,408.15,386.78,407.40,0.87,uptrend,0.00
2026-05-15,UPST,29.51,5494299,48.19,44.28,26.56,35.70,26.22,35.80,-55.72,43,,75.00,HOLD,1.89,26.67,35.18,26.67,30.46,-1.34,0.31,-1.65,31.13,29.90,28.91,44.63,1.18,downtrend,0.00
