Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20,SMA50,SMA200,VolumeRatio,TrendRegime,ConfluenceRatio
2026-05-13,ABCL,4.77,5887732,60.14,54.01,3.48,5.32,3.76,5.63,-45.99,42,DoubleBottom,145.00,HOLD,0.36,4.23,5.85,4.23,4.95,0.44,0.38,0.06,4.40,4.48,3.86,4.14,0.66,uptrend,0.00
2026-05-13,BE,289.76,8081237,67.15,84.78,194.36,317.83,200.23,302.99,-15.22,42,HeadAndShoulders,225.51,SELL,22.46,323.45,222.38,323.45,278.53,38.98,44.51,-5.53,256.09,254.29,194.53,124.45,0.78,uptrend,0.00
2026-05-13,BMNR,21.18,25358532,46.11,30.18,20.73,23.55,20.19,24.11,-69.82,42,DoubleBottom|HeadAndShoulders,132.87,HOLD,1.22,19.35,24.85,19.35,21.79,0.02,0.41,-0.39,22.14,21.93,21.31,34.34,0.70,downtrend,0.00
2026-05-13,CIEN,577.90,1265749,65.80,84.80,462.75,592.16,461.07,598.84,-15.20,42,,235.95,SELL,34.32,629.37,474.95,629.37,560.74,24.00,26.91,-2.91,527.46,528.12,450.70,256.05,0.62,uptrend,0.00
2026-05-13,DLO,12.17,3376493,33.81,8.30,12.66,14.32,11.96,14.49,-91.70,42,HeadAndShoulders,257.35,HOLD,0.57,11.32,13.88,11.32,12.45,0.03,0.24,-0.21,13.49,13.31,12.84,13.50,1.96,downtrend,0.00
2026-05-13,DNA,8.59,1106758,52.01,40.92,6.90,10.31,7.17,10.64,-59.08,42,,67.50,HOLD,0.79,7.41,10.95,7.41,8.98,0.77,0.80,-0.02,8.60,8.57,7.47,9.91,0.80,downtrend,0.00
2026-05-13,GEV,1062.57,1381087,54.92,23.13,970.30,1168.61,969.52,1181.95,-76.87,42,,127.02,HOLD,46.32,993.09,1201.54,993.09,1085.73,25.29,62.42,-37.12,1069.45,1051.84,956.81,727.57,0.53,uptrend,0.00
2026-05-13,GLW,206.51,14084488,69.80,91.70,141.10,204.50,148.17,211.79,-8.30,42,DoubleBottom,326.43,SELL,12.81,225.73,168.07,225.73,200.10,3.80,3.38,0.42,172.80,176.13,154.56,105.49,1.00,uptrend,0.00
2026-05-13,GOOGL,402.62,27498089,75.58,98.42,315.47,418.30,331.35,403.70,-1.58,42,,302.75,SELL,10.06,417.71,372.44,417.71,397.59,27.77,25.51,2.26,366.88,370.18,328.86,289.28,0.98,uptrend,0.00
2026-05-13,INTC,120.29,114451062,74.77,76.55,50.34,136.03,64.27,132.75,-23.45,42,,180.85,HOLD,7.51,109.02,142.83,109.02,124.05,21.75,17.40,4.35,93.19,97.66,66.84,43.87,0.73,uptrend,0.00
2026-05-13,IONQ,55.26,21759626,67.45,79.93,38.93,56.14,39.76,59.15,-20.07,42,,220.58,SELL,4.22,61.59,42.59,61.59,53.15,4.93,5.97,-1.04,47.53,47.09,38.26,46.83,0.59,uptrend,0.00
2026-05-13,OPEN,4.58,30387632,38.51,3.80,4.72,5.78,4.53,6.00,-96.20,42,,325.71,HOLD,0.38,4.01,5.71,4.01,4.77,0.10,0.30,-0.20,5.25,5.08,5.02,5.93,0.76,downtrend,0.00
2026-05-13,PLTR,130.05,54041476,38.39,6.22,130.49,151.23,128.75,152.68,-93.78,42,,322.53,HOLD,6.43,120.41,149.33,120.41,133.26,-1.50,-0.10,-1.41,140.86,139.13,145.17,163.59,1.19,downtrend,0.00
2026-05-13,POET,14.37,49605765,67.51,87.62,4.51,15.35,6.37,15.50,-12.38,42,DoubleBottom,273.58,SELL,1.74,16.98,9.15,16.98,13.50,0.61,1.14,-0.53,9.93,10.06,7.79,6.53,0.79,uptrend,0.00
2026-05-13,TSLA,445.27,64708180,70.19,90.90,352.47,442.57,364.02,453.40,-9.10,42,DoubleBottom,326.54,SELL,17.33,471.26,393.29,471.26,436.61,17.14,12.23,4.91,397.52,402.81,385.70,406.27,1.03,uptrend,0.00
2026-05-13,UPST,26.99,4511687,37.59,9.82,26.82,36.28,26.22,35.80,-90.18,42,,320.78,HOLD,1.79,24.30,32.36,24.30,27.89,-0.83,1.29,-2.12,31.55,29.97,28.87,45.16,0.95,downtrend,0.00
