Date,Ticker,Close,USD/KRW,Fall20(전고점-20%),StochUnder40,RsiUnder40
2025-05-23,TSLA,336.77,1365.79,Y,N,N
2025-05-23,PLTR,122.84,1365.79,N,N,N
2025-05-23,RCAT,6.82,1365.79,Y,N,N
2025-05-23,TSLA,337.26,1366.51,Y,N,N
2025-05-23,PLTR,122.90,1366.51,N,N,N
2025-05-23,IONQ,45.11,1366.51,N,N,N
